Category,Unique Item List,Supply,Rarity Tier,IP Concern,IconName,Title,Description
Background,Camouflage Green,588,Common,,,,
Background,Dark Lavender,510,Common,,,,
Background,Middle Green,613,Common,,,,
Background,Purple Navy,588,Common,,,,
Background,Rose Taupe,599,Common,,,,
Background,Russian Green,225,Common,,,,
Background,Teal Blue,203,Common,,,,
Bro Type,Alien Bro,15,Epic,,alienbro.png,Unsolicited Visitor,Arrived uninvited. Ignored Area 51 warnings. Currently on 14 different government watchlists and 3 Discord servers. +50 to 'Probing Questions.'
Bro Type,Ape Bro,40,Rare,,apebro.png,The DeGen Primate,+50 to 'HODL Strength.' -30 to 'Exit Strategy.' Communicates through chest beating and chart emojis. Lost house in 2022.
Bro Type,Bro,935,Common,,bro.png,Factory Settings,No lore. No backstory. No personality. He is the default. The control variable. The mayo sandwich of NFT characters. Still costs the same as the others.
Bro Type,Darth Vader,1,Grail,Yes,darthvader.png,The Original VC,Turned to the dark side for better tokenomics. Now manages a portfolio of star destroyers and questionable altcoins. 'I am your liquidity.'
Bro Type,Different Bro,786,Common,,differentbro.png,Not Like Other Bros,+20 to 'Individuality.' Reads Nietzsche. Has strong opinions about coffee. Owns one vinyl record and mentions it constantly. Is still just a bro.
Bro Type,Mummy Bro,750,Common,,mummybro.png,Ancient HODLR,"Has been holding since 3000 BC. Never sold. Bandages hide the emotional damage. Portfolio is mummified too — preserved, dead, and surrounded by traps."
Bro Type,Orc Lord,1,Grail,,orclord.png,Grakar the Filthy.,High 'Strength' and 'Leadership' over lesser goblinoids. Communicates primarily through roars and pointing at things he wants to smash.
Bro Type,Pink Guy,1,Grail,Yes,pinkguy.png,Cotton Candy Menace,+15 to 'Looking Unthreatening.' -40 to 'Being Taken Seriously.' Everyone underestimates him. That's been their mistake every single time.
Bro Type,Pock,1,Grail,,pock.png,"Dwayne ""the rock"" Johnson",Immune to all expectations. May or may not be sentient. Definitely got you to spend ETH on a rock. Again.
Bro Type,Robo Bro,600,Common,,robobro.png,Automation Anxiety,100% machine. 0% work ethic. Currently replacing three white-collar jobs. Has no feelings about this. Will have no feelings about anything. Ever.
Bro Type,Satan,1,Grail,,satan.png,The Yield Farmer,+666 to 'Temptation.' Offers tempting deals for temporary stat boosts. Side effects include eternal damnation and mild FOMO.
Bro Type,Unknown Bro,1,Grail,,unknown.png,Schrödinger's Chad,His power level exists in quantum superposition until observed. Either god-tier or complete trash. The ultimate flex is never revealing which.
Bro Type,Voldemort,1,Grail,Yes,voldermort.png,He Who Must Not Be Rugged,Name cannot be said aloud or the floor price drops. Has seven horcruxes — all of them are locked in a multisig wallet he lost the keys to.
Bro Type,Zombie Bro,200,Common,,zombiebro.png,"The ""Monday Morning"" Mascot","Still showing up. Technically. Functioning on zero sleep and negative morale. Not dead, just extremely unwell. Relatable."
Clothes,Black Shirt,139,Common,,blackshirt.png,The Edgelord's Classic,Specifically designed to protect you from mainstream opinions and bright colors.
Clothes,Blue Puffer Jacket,95,Uncommon,,bluepuffer.png,The Marshmallow Man,+20 to 'Looking Inflatable.' So puffy you can't put your arms down. Fashion or sleeping bag? Scientists baffled.
